BUYER_STATE,month,total_pills,average_annual_population,pills_per_person_state_month
ME,12,34345540,1326120,25.89927005097578
MD,01,90706384.7,5688802,15.944725216310921
MD,02,89176507,5688802,15.675797294403989
MD,03,98721954,5688802,17.353733527726927
MD,04,94302338,5688802,16.576836036831658
MD,05,97320120,5688802,17.107313631235538
MD,06,101745452,5688802,17.88521590310227
MD,07,98661967,5688802,17.343188776828583
MD,08,100420506.5003,5688802,17.652311769736407
MD,09,95815394,5688802,16.842806974122144
MD,10,99673402,5688802,17.52098280094825
MD,11,96972465,5688802,17.046201467373976
MD,12,101568069,5688802,17.854034821391217
MA,01,98362272,6481671,15.175449664137535
MA,02,95308608,6481671,14.70432670834419
MA,03,109051170,6481671,16.82454570742637
MA,04,102080352,6481671,15.749079519771986
MA,05,107889906,6481671,16.64538450038578
MA,06,113040572,6481671,17.440035447649226
MA,07,107131802,6481671,16.52842330318833
MA,08,110404084,6481671,17.03327490704172
MA,09,105273353,6481671,16.24169955556214
MA,10,110722788,6481671,17.082444943595565
MA,11,106849019,6481671,16.48479520173116
MA,12,112522689,6481671,17.36013583534246
MI,01,218484223,9970573,21.912905406740414
MI,02,210857371,9970573,21.147969229050325
MI,03,235781634,9970573,23.64775163874734
MI,04,226366306,9970573,22.703440012926038
MI,05,236817995,9970573,23.751693608782563
MI,06,246949936,9970573,24.76787803469269
MI,07,241959490,9970573,24.267360561925578
MI,08,250307463,9970573,25.104621670188866
MI,09,235988127,9970573,23.668461882782463
MI,10,252032430,9970573,25.277627474368824
MI,11,240678291,9970573,24.138862530769295
MI,12,256355011,9970573,25.71116133445891
MN,01,64838222,5234218,12.387375153270268
MN,02,63117467,5234218,12.05862403896819
MN,03,71087727,5234218,13.58134624885704
MN,04,66599260,5234218,12.723822355125446
MN,05,69839104,5234218,13.342796192286986
MN,06,70725719,5234218,13.512184437102162
MN,07,69837466,5234218,13.342483251557349
MN,08,73065589,5234218,13.959217785732271
MN,09,69828239,5234218,13.340720428533928
MN,10,72311009,5234218,13.815054894542032
MN,11,71393263,5234218,13.63971905640919
MN,12,76482650,5234218,14.612049020503159
MS,01,66352853,2938529,22.580295447143794
MS,02,64590670,2938529,21.980613429372315
MS,03,71744461,2938529,24.415093742481357
MS,04,69814207,2938529,23.75821610064083
MS,05,71454849,2938529,24.316536947567982
MS,06,72916787,2938529,24.814043693290078
MS,07,72001887.6,2938529,24.502697642255697
MS,08,73901570,2938529,25.149171575301793
MS,09,70653041,2938529,24.04367661506829
MS,10,74719499,2938529,25.427517986039955
MS,11,71605400,2938529,24.367770404852223
MS,12,74797961,2938529,25.454219100781376
MO,01,124756105,5917017,21.08429044567558
MO,02,119443807,5917017,20.186490422454423
MO,03,133797471,5917017,22.6123181664004
MO,04,128379873,5917017,21.69672201381203
MO,05,133609370,5917017,22.580528330407027
MO,06,136857991.5,5917017,23.129558610360593
MO,07,133192314,5917017,22.510044165835588
MO,08,138416576,5917017,23.392965746084556
MO,09,133169045.015,5917017,22.506111612489875
MO,10,138563711,5917017,23.41783216103655
MO,11,135408029.066,5917017,22.884509046703773
MO,12,144065522.75,5917017,24.347660780761657
MT,01,19648440,971064,20.233928968636466
MT,02,18505487,971064,19.056917978629627
MT,03,20548050,971064,21.16034576505771
MT,04,19725180,971064,20.312955685722052
MT,05,20360680,971064,20.967392468467576
MT,06,20816170,971064,21.436455269683563
MT,07,20744730,971064,21.362886483280196
MT,08,21124550,971064,21.754024451529457
MT,09,20332150,971064,20.938012324625358
MT,10,21298810,971064,21.933477093167905
MT,11,20469970,971064,21.079939118327935
MT,12,21599699,971064,22.24333205638351
NE,01,25080865,1794876,13.973592047584345
NE,02,23733268,1794876,13.222789763749697
NE,03,26485580,1794876,14.75621714257698
NE,04,24946520,1794876,13.89874286580243
NE,05,26064658,1794876,14.52170400629347
NE,06,26397779,1794876,14.707299557183894
NE,07,26107968,1794876,14.545833806903653
NE,08,26985666,1794876,15.034835832670336
NE,09,25542322,1794876,14.230688916671681
NE,10,26738162,1794876,14.896941070023779
NE,11,26450758,1794876,14.736816359458816
NE,12,28451781,1794876,15.851669418945933
NV,01,76209167,2619151,29.096897047936526
NV,02,76563514,2619151,29.232187834912917
NV,03,87250790,2619151,33.31262305991522
NV,04,82040403,2619151,31.323281093759007
NV,05,84369394,2619151,32.2124971030689
NV,06,85435264,2619151,32.61944958499911
NV,07,83242177,2619151,31.78212214568767
NV,08,85559092,2619151,32.66672750062902
NV,09,82087079,2619151,31.341102135768423
NV,10,86834602,2619151,33.15372118675097
NV,11,83917958,2619151,32.04013743384784
NV,12,88697915,2619151,33.86513988693282
NH,01,21948030,1314225,16.70035952747817
NH,02,21149150,1314225,16.092487968194185
NH,03,23712968,1314225,18.04330917460861
NH,04,22250135,1314225,16.930232646616826
NH,05,23188775,1314225,17.644448248968022
NH,06,24449460,1314225,18.60370941048907
NH,07,23549170,1314225,17.918674503985237
NH,08,24410122,1314225,18.57377694078259
NH,09,22978925,1314225,17.484772394376915
NH,10,24591349,1314225,18.71167341969602
NH,11,23408440,1314225,17.811592383343797
NH,12,24776500,1314225,18.85255568871388
NJ,01,123539977,8709961,14.183757768835015
NJ,02,119563838,8709961,13.727252969330173
NJ,03,135687913,8709961,15.578475380084939
NJ,04,119778648,8709961,13.751915536705617
NJ,05,125161950,8709961,14.369978235264199
NJ,06,129584967.5,8709961,14.877789636486318
NJ,07,125608621,8709961,14.42126101368307
NJ,08,127367149,8709961,14.623159506684358
NJ,09,123361512,8709961,14.163268010040458
NJ,10,128729237,8709961,14.779542296458043
NJ,11,124674223,8709961,14.313981773282338
NJ,12,135722021,8709961,15.582391356287358
NM,01,41005717,2004754,20.454238774433172
NM,02,39987793,2004754,19.946483708225546
NM,03,44644237,2004754,22.269184648091485
NM,04,41783009,2004754,20.84196315358393
NM,05,44204695,2004754,22.04993480496859
NM,06,43805372,2004754,21.850746774916026
NM,07,43845415,2004754,21.870720796666323
NM,08,45048281,2004754,22.470727580541055
NM,09,43060050,2004754,21.478969489523404
NM,10,45174972,2004754,22.533922865349066
NM,11,43313524,2004754,21.605405950056713
NM,12,46235974,2004754,23.063165854763227
NY,01,265945212,19257663,13.809838296578354
NY,02,254336283.8,19257663,13.20701706120831
NY,03,288193240,19257663,14.965120118676912
NY,04,268178025,19257663,13.925782427493928
NY,05,274834279,19257663,14.271424263681423
NY,06,285150595,19257663,14.80712353310991
NY,07,281812983.5,19257663,14.633810109772925
NY,08,285616422,19257663,14.83131270912779
NY,09,276386342,19257663,14.352018830114536
NY,10,287652083,19257663,14.937019253063053
NY,11,274156113,19257663,14.236208879550961
NY,12,293117526,19257663,15.220825392987717
NC,01,192903981,9232086,20.894950610295442
NC,02,193423494.5,9232086,20.95122321217545
NC,03,218146363.5,9232086,23.629152013965207
NC,04,206547593,9232086,22.372797762065908
NC,05,218688422,9232086,23.687866642490114
NC,06,214606040,9232086,23.24567167160271
NC,07,214806694.4,9232086,23.267406131182053
NC,08,222203608,9232086,24.06862414409918
NC,09,215086673,9232086,23.297732820079883
NC,10,222203014,9232086,24.068559803277395
NC,11,214417397,9232086,23.225238261428675
NC,12,217502543,9232086,23.55941474115384
ND,01,7302257,657492,11.106229429407506
ND,02,6744533,657492,10.257969678718524
ND,03,7228838,657492,10.99456419241603
ND,04,7261008,657492,11.043492544395978
ND,05,7354945,657492,11.186364244736058
ND,06,7509290,657492,11.421112348135035
ND,07,7623700,657492,11.595122069926326
ND,08,7686289,657492,11.69031562361215
ND,09,7616360,657492,11.583958435996179
ND,10,7520240,657492,11.437766543167065
ND,11,7627892,657492,11.601497812901146
ND,12,7980290,657492,12.137470874170333
OH,01,262660013,11511491,22.81720178558972
OH,02,255868837,11511491,22.22725422797099
OH,03,286173834,11511491,24.859840832086824
OH,04,273205151,11511491,23.733254971054574
OH,05,284618603,11511491,24.72473835057509
OH,06,290459742,11511491,25.232156460010263
OH,07,285962935,11511491,24.841520095007674
OH,08,294391114,11511491,25.57367364488232
OH,09,279641295,11511491,24.292360998240802
OH,10,294517608,11511491,25.58466214324452
OH,11,283378136,11511491,24.616979329610736
OH,12,302925320.5,11511491,26.3150377739947
OK,01,110435565.8,3663764,30.142652692695272
OK,02,104733445.5,3663764,28.586296906678488
OK,03,116901674.5,3663764,31.907534027846772
OK,04,113888553,3663764,31.085122567938328
OK,05,117167928,3663764,31.980206148649312
OK,06,118920870,3663764,32.45866000102627
OK,07,117848958.3,3663764,32.16608883650803
OK,08,121053583,3663764,33.04076982032686
OK,09,116293919,3663764,31.741651208975252
OK,10,122679869.5,3663764,33.48465389692131
OK,11,118639621,3663764,32.38189495829972
OK,12,124701609.5,3663764,34.03647437444115
OR,01,104983789,3755715,27.953076577961852
OR,02,101225234,3755715,26.952320397048233
OR,03,114348960,3755715,30.446655297326874
OR,04,107918024,3755715,28.734348586088135
OR,05,112241772,3755715,29.885593555421536
OR,06,112733914,3755715,30.0166317199255
OR,07,112657971,3755715,29.996411069530037
OR,08,115300241,3755715,30.699944218344577
OR,09,110330664,3755715,29.37674024786226
OR,10,115357731,3755715,30.7152515566277
OR,11,112401828,3755715,29.928210207643552
OR,12,116851749,3755715,31.113050111629875
PA,01,239117771.7,12596665,18.982625298045157
PA,02,235285376.72,12596665,18.6783864395854
PA,03,260371465.2,12596665,20.669872954468502
PA,04,247633858,12596665,19.65868410408628
PA,05,256999857,12596665,20.402214157477395
PA,06,264737969,12596665,21.01651262457166
PA,07,259311070,12596665,20.585692324119123
PA,08,263724453,12596665,20.936053550681866
PA,09,254231476,12596665,20.182443210167136
PA,10,266831178,12596665,21.18268430572695
PA,11,259412874,12596665,20.593774145775885
PA,12,275414702,12596665,21.8640967271893
RI,01,18438865,1056516,17.452518466355453
RI,02,18809330,1056516,17.80316625588254
RI,03,21138790,1056516,20.00801691597666
RI,04,20406860,1056516,19.315239901714694
RI,05,22007900,1056516,20.8306357878158
RI,06,22196330,1056516,21.008986139348576
RI,07,21550380,1056516,20.397589814068127
RI,08,22057240,1056516,20.877336453021062
RI,09,21077510,1056516,19.950014954813746
RI,10,22422930,1056516,21.223464670672286
RI,11,21256190,1056516,20.119136861154967
RI,12,22606800,1056516,21.39749894937701
SC,01,135928157.5,4495067,30.239406331429542
SC,02,136149520,4495067,30.288651982273013
SC,03,154517575,4495067,34.37492144166038
SC,04,156769764.75,4495067,34.87595729941289
SC,05,157151355.75,4495067,34.96084835887874
SC,06,155840015.75,4495067,34.66911967051882
SC,07,154890096,4495067,34.45779473364913
SC,08,157398983,4495067,35.0159370260777
SC,09,151224164,4495067,33.64224915891131
SC,10,157444869,4495067,35.026145105289864
SC,11,150605333,4495067,33.50458024318659
SC,12,162952592.5,4495067,36.25142684191359
SD,01,9145620,799048,11.445645317928335
SD,02,8781910,799048,10.990466154724121
SD,03,9537860,799048,11.936529470069383
SD,04,9085027,799048,11.369813828455863
SD,05,9442100,799048,11.816686857360258
SD,06,9588653,799048,12.000096364673961
SD,07,9758340,799048,12.212457824811526
SD,08,10087522,799048,12.624425566424044
SD,09,9624080,799048,12.044432875121394
SD,10,10054070,799048,12.582560747289275
SD,11,9804130,799048,12.26976351858712
SD,12,10517545,799048,13.162594737737908
TN,01,191576487.75,6222433,30.788035443692202
TN,02,187310486.25,6222433,30.102451283927042
TN,03,208718950.25,6222433,33.542980735991854
TN,04,207677114,6222433,33.37554843901091
TN,05,213618523,6222433,34.33038539748038
TN,06,216245806.625,6222433,34.752613105677476
TN,07,215470177,6222433,34.62796256705376
TN,08,217048674.5,6222433,34.88164107190869
TN,09,208019835,6222433,33.43062673394796
TN,10,218581525,6222433,35.12798370026644
TN,11,216397530.4,6222433,34.77699645781642
TN,12,219114515,6222433,35.21363990580534
TX,01,428833090.5,24230662,17.697951896650615
TX,02,413519888,24230662,17.06597566339706
TX,03,462086911,24230662,19.07033786365391
